emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source
R STREET RESTAURANT CORP,426.0,10.0,4260.0,5200.35,22.21,12.21,ESSP
R STREET RESTAURANT CORP,229.0,16.0,3664.0,1052.47,20.6,4.6,ESSP
R STREET RESTAURANT CORP,101.0,5.0,502.5,4127.67,45.84,40.87,ESSP
R STREET RESTAURANT CORP,320.0,5.0,1600.0,14179.4,49.31,44.31,ESSP
R STREET RESTAURANT CORP,106.0,5.0,530.0,3524.98,38.25,33.25,ESSP
R STREET RESTAURANT CORP,467.0,5.0,2335.0,21359.77,50.74,45.74,ESSP
R STREET RESTAURANT CORP,109.0,5.0,545.0,5007.62,50.94,45.94,ESSP
R STREET RESTAURANT CORP,226.0,14.0,3164.0,1015.24,18.49,4.49,ESSP
R STREET RESTAURANT CORP,480.0,10.0,4800.0,6777.76,24.12,14.12,ESSP
R STREET RESTAURANT CORP,107.0,10.0,1070.0,908.15,18.49,8.49,ESSP
LOUYANS INC,530.0,15.0,8338.95,112.5,15.95,0.21,ESSP
LOUYANS INC,382.0,6.0,8120.15,5827.07,36.51,15.25,ESSP
LOUYANS INC,480.0,61.88,33154.7,3454.7,76.27,7.2,ESSP
LOUYANS INC,530.0,15.0,8338.95,112.5,15.95,0.21,ESSP
LOUYANS INC,382.0,6.0,8120.15,5827.07,36.51,15.25,ESSP
LOUYANS INC,480.0,61.88,33154.7,3454.7,76.27,7.2,ESSP
I RICCHI,80.0,5.0,3877.54,3476.54,91.93,43.46,ESSP
I RICCHI,251.0,5.0,9507.73,8251.58,70.75,32.87,ESSP
I RICCHI,77.0,7.0,1746.98,1206.3,38.35,15.67,ESSP
I RICCHI,188.0,5.0,6956.02,6013.27,68.99,31.99,ESSP
I RICCHI,181.0,7.0,4045.41,2172.95,34.36,12.01,ESSP
I RICCHI,202.0,7.0,5030.8,3015.75,39.83,14.93,ESSP
I RICCHI,205.0,5.0,10712.54,9684.39,99.5,47.24,ESSP
I RICCHI,119.0,5.0,6268.77,5673.92,100.36,47.68,ESSP
ROSEWOOD REGENCY CO INC,205.0,5.37,1100.0,2000.0,15.12,9.76,ESSP
ROSEWOOD REGENCY CO INC,174.0,8.1,1410.0,1600.0,17.3,9.2,ESSP
ROSEWOOD REGENCY CO INC,430.0,5.5,2365.0,4150.0,15.15,9.65,ESSP
BOK J CHANG,512.0,14.0,7168.0,2175.0,18.25,4.25,ESSP
BOK J CHANG,512.0,14.0,7168.0,2175.0,18.25,4.25,ESSP
TRC INC,565.0,20.25,11444.5,2482.0,24.65,4.39,ESSP
TRC INC,564.0,19.61,11063.0,2078.0,23.3,3.68,ESSP
ARK POTOMAC SEQUOIA GRILL,530.0,5.0,2651.0,15632.0,34.5,29.49,ESSP
ARK POTOMAC SEQUOIA GRILL,336.0,5.0,1682.0,7778.0,28.15,23.15,ESSP
ARK POTOMAC SEQUOIA GRILL,642.0,5.0,321.0,1443.0,2.75,2.25,ESSP
ARK POTOMAC SEQUOIA GRILL,351.0,5.0,1755.0,8668.0,29.7,24.7,ESSP
ARK POTOMAC SEQUOIA GRILL,260.0,8.0,208.0,345.0,2.13,1.33,ESSP
ARK POTOMAC SEQUOIA GRILL,523.0,5.0,2616.0,17468.0,38.4,33.4,ESSP
ARK POTOMAC SEQUOIA GRILL,434.0,5.0,2173.0,13838.0,36.89,31.88,ESSP
ARK POTOMAC SEQUOIA GRILL,404.0,5.0,2024.0,9689.0,28.99,23.98,ESSP
