"","district","branch","yr_applied","mo_applied","product","population","poverty","price","count","loan_per_branch","agg_date","pop_wt","weighted_loans_bybranchprod","weighted_count_bybranchprod","hml_cookstove","hml_gobargas","hml_jumbostove","hml_solarlight"
"270","BangaloreRural","Devanahalli",2014,12,"SolarLight",146705,15.7,216,2,432,"2014-12-01",0.4141428,178.9097,0.8282855,"Medium","Low","High","Low"
"271","BangaloreRural","Nelamangala",2014,3,"GobarGasPlant",163090,15.7,10,1,10,"2014-03-01",0.460397,4.60397,0.460397,"Medium","Low","High","Low"
"272","BangaloreRural","Devanahalli",2014,9,"CookStove",146705,15.7,161,48,7728,"2014-09-01",0.4141428,3200.495,19.87885,"Medium","Low","High","Low"
"273","BangaloreRural","Doddaballapur",2017,6,"CookStove",198546,15.7,264.5,32.5,8596.25,"2017-06-01",0.560488,4818.095,18.21586,"Medium","Low","High","Low"
"274","BangaloreRural","Doddaballapur",2018,9,"GreenwayJumboStoveGJS1",198546,15.7,396,219,86724,"2018-09-01",0.560488,48607.76,122.7469,"Medium","Low","High","Low"
"275","BangaloreRural","Hosakote",2015,3,"SolarLight",213838,15.7,472,1,472,"2015-03-01",0.6036567,284.926,0.6036567,"Medium","Low","High","Low"
"276","BangaloreRural","Doddaballapur",2015,1,"SolarLight",198546,15.7,300.5,2,601,"2015-01-01",0.560488,336.8533,1.120976,"Medium","Low","High","Low"
"277","BangaloreRural","Nelamangala",2018,6,"CookStove",163090,15.7,396,9,3564,"2018-06-01",0.460397,1640.855,4.143573,"Medium","Low","High","Low"
"278","BangaloreRural","Devanahalli",2014,12,"CookStove",146705,15.7,161,43,6923,"2014-12-01",0.4141428,2867.11,17.80814,"Medium","Low","High","Low"
"279","BangaloreRural","Nelamangala",2016,1,"SolarLight",163090,15.7,579.3333,2.333333,1351.778,"2016-01-01",0.460397,622.3544,1.07426,"Medium","Low","High","Low"
"280","BangaloreRural","Nelamangala",2014,12,"GobarGasPlant",163090,15.7,349,1,349,"2014-12-01",0.460397,160.6786,0.460397,"Medium","Low","High","Low"
"281","BangaloreRural","Doddaballapur",2014,12,"CookStove",198546,15.7,161,46,7406,"2014-12-01",0.560488,4150.974,25.78245,"Medium","Low","High","Low"
