branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Hukeri","Belgaum",2014,12,"SolarLight",341645,28.8,10,2,20,"2014-12-01",.9644511,19.28902,1.928902
"Hukeri","Belgaum",2013,6,"SolarLight",341645,28.8,868,1,868,"2013-06-01",.9644511,837.1436,.9644511
"Hukeri","Belgaum",2016,9,"SolarLight",341645,28.8,591.5,2,1183,"2016-09-01",.9644511,1140.946,1.928902
"Hukeri","Belgaum",2015,5,"SolarLight",341645,28.8,10,1,10,"2015-05-01",.9644511,9.644511,.9644511
"Hukeri","Belgaum",2018,7,"SolarLight",341645,28.8,395.6,10.2,4035.12,"2018-07-01",.9644511,3891.676,9.837401
"Hukeri","Belgaum",2016,12,"SolarLight",341645,28.8,274,1,274,"2016-12-01",.9644511,264.2596,.9644511
"Hukeri","Belgaum",2012,11,"GobarGasPlant",341645,28.8,340,2,680,"2012-11-01",.9644511,655.8268,1.928902
"Hukeri","Belgaum",2014,7,"CookStove",341645,28.8,301.5,180.5,54420.75,"2014-07-01",.9644511,52486.15,174.0834
"Hukeri","Belgaum",2013,5,"GobarGasPlant",341645,28.8,619,1,619,"2013-05-01",.9644511,596.9952,.9644511
"Hukeri","Belgaum",2018,8,"GreenwayJumboStoveGJS1",341645,28.8,396,176,69696,"2018-08-01",.9644511,67218.38,169.7434
"Hukeri","Belgaum",2014,3,"SolarLight",341645,28.8,527.3333,1.333333,703.1111,"2014-03-01",.9644511,678.1163,1.285935
"Hukeri","Belgaum",2014,8,"SolarLight",341645,28.8,934,3,2802,"2014-08-01",.9644511,2702.392,2.893353
"Hukeri","Belgaum",2014,9,"CookStove",341645,28.8,161,110,17710,"2014-09-01",.9644511,17080.43,106.0896
"Hukeri","Belgaum",2018,9,"SolarLight",341645,28.8,361.1111,3.888889,1404.321,"2018-09-01",.9644511,1354.399,3.750643
"Hukeri","Belgaum",2013,1,"SolarLight",341645,28.8,453.6667,4,1814.667,"2013-01-01",.9644511,1750.157,3.857805
"Hukeri","Belgaum",2014,4,"GobarGasPlant",341645,28.8,346,1,346,"2014-04-01",.9644511,333.7001,.9644511
"Hukeri","Belgaum",2017,6,"SolarLight",341645,28.8,947,1.5,1420.5,"2017-06-01",.9644511,1370.003,1.446677
"Hukeri","Belgaum",2017,8,"SolarLight",341645,28.8,442,2,884,"2017-08-01",.9644511,852.5748,1.928902
"Hukeri","Belgaum",2016,3,"CookStove",341645,28.8,161,70,11270,"2016-03-01",.9644511,10869.36,67.51158
"Hukeri","Belgaum",2017,3,"SolarLight",341645,28.8,49,6.666667,326.6667,"2017-03-01",.9644511,315.054,6.429674
"Hukeri","Belgaum",2013,2,"GobarGasPlant",341645,28.8,398.6667,5,1993.333,"2013-02-01",.9644511,1922.473,4.822256
"Hukeri","Belgaum",2013,7,"SolarLight",341645,28.8,868,2,1736,"2013-07-01",.9644511,1674.287,1.928902
"Hukeri","Belgaum",2014,2,"SolarLight",341645,28.8,885,6,5310,"2014-02-01",.9644511,5121.235,5.786707
"Hukeri","Belgaum",2018,1,"SolarLight",341645,28.8,304.75,7.5,2285.625,"2018-01-01",.9644511,2204.374,7.233384
"Hukeri","Belgaum",2018,3,"SolarLight",341645,28.8,502,4,2008,"2018-03-01",.9644511,1936.618,3.857805
"Hukeri","Belgaum",2017,1,"SolarLight",341645,28.8,64,4,256,"2017-01-01",.9644511,246.8995,3.857805
"Hukeri","Belgaum",2018,4,"SolarLight",341645,28.8,479.5,2.5,1198.75,"2018-04-01",.9644511,1156.136,2.411128
"Hukeri","Belgaum",2017,2,"SolarLight",341645,28.8,64,1.5,96,"2017-02-01",.9644511,92.58731,1.446677
"Hungund","Bagalkot",2018,7,"SolarLight",197557,35.8,665.5,1.5,998.25,"2018-07-01",.557696,556.7201,.8365441
"Hungund","Bagalkot",2014,11,"SolarLight",197557,35.8,10,1,10,"2014-11-01",.557696,5.576961,.557696
"Hungund","Bagalkot",2017,11,"SolarLight",197557,35.8,245,2,490,"2017-11-01",.557696,273.2711,1.115392
"Hungund","Bagalkot",2015,7,"SolarLight",197557,35.8,310,1.333333,413.3333,"2015-07-01",.557696,230.5144,.7435948
"Hungund","Bagalkot",2017,12,"SolarLight",197557,35.8,878,1,878,"2017-12-01",.557696,489.6571,.557696
"Hungund","Bagalkot",2014,10,"CookStove",197557,35.8,161,44,7084,"2014-10-01",.557696,3950.719,24.53863
"Hungund","Bagalkot",2016,3,"SolarLight",197557,35.8,689,1,689,"2016-03-01",.557696,384.2526,.557696
"Hungund","Bagalkot",2015,1,"CookStove",197557,35.8,161,32,5152,"2015-01-01",.557696,2873.25,17.84627
"Hungund","Bagalkot",2018,8,"CookStove",197557,35.8,396,13,5148,"2018-08-01",.557696,2871.019,7.250049
"Hungund","Bagalkot",2018,8,"GreenwayJumboStoveGJS1",197557,35.8,396,38,15048,"2018-08-01",.557696,8392.21,21.19245
"Hungund","Bagalkot",2015,4,"SolarLight",197557,35.8,498,1,498,"2015-04-01",.557696,277.7326,.557696
"Hungund","Bagalkot",2015,1,"SolarLight",197557,35.8,314.5,2,629,"2015-01-01",.557696,350.7908,1.115392
"Hungund","Bagalkot",2014,11,"GobarGasPlant",197557,35.8,346,1,346,"2014-11-01",.557696,192.9628,.557696
"Hungund","Bagalkot",2017,8,"SolarLight",197557,35.8,588.5,2,1177,"2017-08-01",.557696,656.4083,1.115392
"Hungund","Bagalkot",2015,11,"SolarLight",197557,35.8,249.3333,3.666667,914.2222,"2015-11-01",.557696,509.8581,2.044886
"Hungund","Bagalkot",2018,9,"SolarLight",197557,35.8,464.4,6.6,3065.04,"2018-09-01",.557696,1709.361,3.680794
"Hungund","Bagalkot",2018,9,"GreenwayJumboStoveGJS1",197557,35.8,396,31,12276,"2018-09-01",.557696,6846.277,17.28858
"Hungund","Bagalkot",2015,2,"SolarLight",197557,35.8,303.75,1.25,379.6875,"2015-02-01",.557696,211.7502,.6971201
"Hungund","Bagalkot",2015,2,"CookStove",197557,35.8,161,40,6440,"2015-02-01",.557696,3591.563,22.30784
"Hungund","Bagalkot",2018,8,"SolarLight",197557,35.8,627.5,1.5,941.25,"2018-08-01",.557696,524.9314,.8365441
"Hungund","Bagalkot",2014,12,"GobarGasPlant",197557,35.8,178,1,178,"2014-12-01",.557696,99.2699,.557696
"Hungund","Bagalkot",2016,6,"SolarLight",197557,35.8,346,1,346,"2016-06-01",.557696,192.9628,.557696
"Hungund","Bagalkot",2016,2,"SolarLight",197557,35.8,397.6667,1,397.6667,"2016-02-01",.557696,221.7771,.557696
"Hungund","Bagalkot",2015,3,"SolarLight",197557,35.8,346,1,346,"2015-03-01",.557696,192.9628,.557696
"Hungund","Bagalkot",2018,2,"SolarLight",197557,35.8,533,1,533,"2018-02-01",.557696,297.252,.557696
"Hungund","Bagalkot",2015,8,"SolarLight",197557,35.8,125,1.5,187.5,"2015-08-01",.557696,104.568,.8365441
"Hungund","Bagalkot",2017,9,"SolarLight",197557,35.8,378.3333,1.333333,504.4445,"2017-09-01",.557696,281.3267,.7435948
"Hungund","Bagalkot",2018,3,"SolarLight",197557,35.8,370.5,1,370.5,"2018-03-01",.557696,206.6264,.557696
"Hungund","Bagalkot",2014,12,"SolarLight",197557,35.8,422,1,422,"2014-12-01",.557696,235.3477,.557696
"Hungund","Bagalkot",2014,11,"CookStove",197557,35.8,161,92,14812,"2014-11-01",.557696,8260.594,51.30804
"Hungund","Bagalkot",2014,9,"CookStove",197557,35.8,161,163,26243,"2014-09-01",.557696,14635.62,90.90446
"Hungund","Bagalkot",2015,9,"SolarLight",197557,35.8,125,3.5,437.5,"2015-09-01",.557696,243.992,1.951936
"Hungund","Bagalkot",2015,7,"CookStove",197557,35.8,161,55,8855,"2015-07-01",.557696,4938.398,30.67328
"Hungund","Bagalkot",2015,3,"GobarGasPlant",197557,35.8,240,1,240,"2015-03-01",.557696,133.8471,.557696
"Hungund","Bagalkot",2015,3,"CookStove",197557,35.8,161,7,1127,"2015-03-01",.557696,628.5234,3.903872
"Hungund","Bagalkot",2014,12,"CookStove",197557,35.8,161,65,10465,"2014-12-01",.557696,5836.29,36.25024
"Hungund","Bagalkot",2015,10,"SolarLight",197557,35.8,254.5,3,763.5,"2015-10-01",.557696,425.8009,1.673088
"Hunsur","Mysore",2018,2,"CookStove",232098,15.5,264.5,68.5,18118.25,"2018-02-01",.655204,11871.15,44.88148
"Hunsur","Mysore",2015,2,"CookStove",232098,15.5,161,12,1932,"2015-02-01",.655204,1265.854,7.862448
"Hunsur","Mysore",2017,8,"SolarLight",232098,15.5,356.375,5.375,1915.516,"2017-08-01",.655204,1255.054,3.521722
"Hunsur","Mysore",2016,2,"SolarLight",232098,15.5,228.8,1.4,320.32,"2016-02-01",.655204,209.875,.9172856
"Hunsur","Mysore",2015,9,"SolarLight",232098,15.5,325.25,2.875,935.0938,"2015-09-01",.655204,612.6772,1.883712
"Hunsur","Mysore",2016,7,"SolarLight",232098,15.5,322.75,1.25,403.4375,"2016-07-01",.655204,264.3339,.819005
"Hunsur","Mysore",2017,7,"SolarLight",232098,15.5,746.3333,4.518518,3372.321,"2017-07-01",.655204,2209.558,2.960552
"Hunsur","Mysore",2013,3,"GobarGasPlant",232098,15.5,10,1,10,"2013-03-01",.655204,6.55204,.655204
"Hunsur","Mysore",2015,5,"SolarLight",232098,15.5,10,1,10,"2015-05-01",.655204,6.55204,.655204
"Hunsur","Mysore",2015,1,"GobarGasPlant",232098,15.5,346,1,346,"2015-01-01",.655204,226.7006,.655204
"Hunsur","Mysore",2018,6,"SolarLight",232098,15.5,192.4,7.6,1462.24,"2018-06-01",.655204,958.0656,4.97955
"Hunsur","Mysore",2014,2,"SolarLight",232098,15.5,422,1,422,"2014-02-01",.655204,276.4961,.655204
"Hunsur","Mysore",2016,4,"SolarLight",232098,15.5,118,1,118,"2016-04-01",.655204,77.31407,.655204
"Hunsur","Mysore",2015,2,"SolarLight",232098,15.5,158,1.666667,263.3333,"2015-02-01",.655204,172.5371,1.092007
"Hunsur","Mysore",2015,4,"SolarLight",232098,15.5,125,1.5,187.5,"2015-04-01",.655204,122.8508,.982806
"Hunsur","Mysore",2015,1,"SolarLight",232098,15.5,224,2,448,"2015-01-01",.655204,293.5314,1.310408
"Hunsur","Mysore",2015,8,"CookStove",232098,15.5,161,36,5796,"2015-08-01",.655204,3797.563,23.58735
"Hunsur","Mysore",2015,6,"SolarLight",232098,15.5,198.6667,1.666667,331.1111,"2015-06-01",.655204,216.9453,1.092007
"Hunsur","Mysore",2013,9,"SolarLight",232098,15.5,10,2,20,"2013-09-01",.655204,13.10408,1.310408
"Hunsur","Mysore",2016,10,"SolarLight",232098,15.5,240,1,240,"2016-10-01",.655204,157.249,.655204
"Hunsur","Mysore",2015,4,"GobarGasPlant",232098,15.5,254,1.5,381,"2015-04-01",.655204,249.6327,.982806
"Hunsur","Mysore",2015,8,"SolarLight",232098,15.5,122.6667,2.333333,286.2222,"2015-08-01",.655204,187.534,1.528809
"Hunsur","Mysore",2014,6,"SolarLight",232098,15.5,10,2,20,"2014-06-01",.655204,13.10408,1.310408
"Hunsur","Mysore",2014,11,"GobarGasPlant",232098,15.5,254,2,508,"2014-11-01",.655204,332.8437,1.310408
"Hunsur","Mysore",2014,5,"GobarGasPlant",232098,15.5,178,1.5,267,"2014-05-01",.655204,174.9395,.982806
"Hunsur","Mysore",2014,12,"SolarLight",232098,15.5,267.8,2.6,696.28,"2014-12-01",.655204,456.2054,1.70353
"Hunsur","Mysore",2015,7,"SolarLight",232098,15.5,227.2,2.4,545.28,"2015-07-01",.655204,357.2697,1.57249
"Hunsur","Mysore",2018,2,"SolarLight",232098,15.5,127.4,5.6,713.44,"2018-02-01",.655204,467.4488,3.669142
"Hunsur","Mysore",2014,8,"CookStove",232098,15.5,161,70,11270,"2014-08-01",.655204,7384.149,45.86428
"Hunsur","Mysore",2014,10,"CookStove",232098,15.5,301.5,7.5,2261.25,"2014-10-01",.655204,1481.58,4.91403
"Hunsur","Mysore",2015,7,"CookStove",232098,15.5,161,36,5796,"2015-07-01",.655204,3797.563,23.58735
"Hunsur","Mysore",2014,2,"GobarGasPlant",232098,15.5,284.6667,1.666667,474.4445,"2014-02-01",.655204,310.8579,1.092007
"Hunsur","Mysore",2016,2,"CookStove",232098,15.5,161,75,12075,"2016-02-01",.655204,7911.588,49.1403
"Hunsur","Mysore",2015,6,"CookStove",232098,15.5,161,25,4025,"2015-06-01",.655204,2637.196,16.3801
"Hunsur","Mysore",2017,2,"SolarLight",232098,15.5,207.6667,1.5,311.5,"2017-02-01",.655204,204.0961,.982806
"Hunsur","Mysore",2014,10,"GobarGasPlant",232098,15.5,349,1.5,523.5,"2014-10-01",.655204,342.9993,.982806
"Hunsur","Mysore",2016,8,"SolarLight",232098,15.5,280,1,280,"2016-08-01",.655204,183.4571,.655204
"Hunsur","Mysore",2018,3,"CookStove",232098,15.5,264.5,36.5,9654.25,"2018-03-01",.655204,6325.503,23.91495
"Hunsur","Mysore",2015,5,"CookStove",232098,15.5,161,1,161,"2015-05-01",.655204,105.4878,.655204
"Hunsur","Mysore",2017,4,"SolarLight",232098,15.5,118,1,118,"2017-04-01",.655204,77.31407,.655204
"Hunsur","Mysore",2015,9,"CookStove",232098,15.5,85.5,11.5,983.25,"2015-09-01",.655204,644.2294,7.534846
"Hunsur","Mysore",2014,9,"SolarLight",232098,15.5,292.5,1.5,438.75,"2014-09-01",.655204,287.4708,.982806
"Hunsur","Mysore",2014,3,"GobarGasPlant",232098,15.5,216,1.5,324,"2014-03-01",.655204,212.2861,.982806
"Hunsur","Mysore",2016,6,"SolarLight",232098,15.5,10,3,30,"2016-06-01",.655204,19.65612,1.965612
"Hunsur","Mysore",2015,3,"CookStove",232098,15.5,161,2,322,"2015-03-01",.655204,210.9757,1.310408
"Hunsur","Mysore",2017,10,"SolarLight",232098,15.5,134.3333,3.833333,514.9445,"2017-10-01",.655204,337.3937,2.511616
"Hunsur","Mysore",2013,11,"SolarLight",232098,15.5,331,1,331,"2013-11-01",.655204,216.8725,.655204
"Hunsur","Mysore",2017,6,"SolarLight",232098,15.5,270,1,270,"2017-06-01",.655204,176.9051,.655204
"Hunsur","Mysore",2015,10,"SolarLight",232098,15.5,324.7143,2.571429,834.9796,"2015-10-01",.655204,547.082,1.68481
"Hunsur","Mysore",2014,8,"SolarLight",232098,15.5,299.3333,2,598.6667,"2014-08-01",.655204,392.2488,1.310408
"Hunsur","Mysore",2016,3,"CookStove",232098,15.5,161,14,2254,"2016-03-01",.655204,1476.83,9.172856
"Hunsur","Mysore",2013,10,"GobarGasPlant",232098,15.5,10,2,20,"2013-10-01",.655204,13.10408,1.310408
"Hunsur","Mysore",2017,12,"SolarLight",232098,15.5,281.5,2.5,703.75,"2017-12-01",.655204,461.0998,1.63801
"Hunsur","Mysore",2018,9,"SolarLight",232098,15.5,104.6667,23,2407.333,"2018-09-01",.655204,1577.294,15.06969
"Hunsur","Mysore",2016,11,"SolarLight",232098,15.5,248,2.333333,578.6667,"2016-11-01",.655204,379.1447,1.528809
"Hunsur","Mysore",2014,12,"CookStove",232098,15.5,301.5,22,6633,"2014-12-01",.655204,4345.968,14.41449
"Hunsur","Mysore",2014,1,"GobarGasPlant",232098,15.5,349,1.5,523.5,"2014-01-01",.655204,342.9993,.982806
"Hunsur","Mysore",2014,9,"CookStove",232098,15.5,331,40,13240,"2014-09-01",.655204,8674.901,26.20816
"Hunsur","Mysore",2014,1,"SolarLight",232098,15.5,555,1.5,832.5,"2014-01-01",.655204,545.4573,.982806
"Hunsur","Mysore",2014,11,"CookStove",232098,15.5,301.5,22.5,6783.75,"2014-11-01",.655204,4444.74,14.74209
"Hunsur","Mysore",2017,9,"SolarLight",232098,15.5,291.3333,7.833333,2282.111,"2017-09-01",.655204,1495.248,5.132432
"Hunsur","Mysore",2014,10,"SolarLight",232098,15.5,196.8,1.6,314.88,"2014-10-01",.655204,206.3106,1.048326
"Hunsur","Mysore",2018,5,"SolarLight",232098,15.5,146,18.8,2744.8,"2018-05-01",.655204,1798.404,12.31784
"Hunsur","Mysore",2014,4,"GobarGasPlant",232098,15.5,346,1,346,"2014-04-01",.655204,226.7006,.655204
"Hunsur","Mysore",2013,4,"GobarGasPlant",232098,15.5,10,1,10,"2013-04-01",.655204,6.55204,.655204
"Hunsur","Mysore",2014,7,"SolarLight",232098,15.5,264,1.75,462,"2014-07-01",.655204,302.7043,1.146607
"Hunsur","Mysore",2015,10,"CookStove",232098,15.5,161,8,1288,"2015-10-01",.655204,843.9028,5.241632
"Hunsur","Mysore",2013,2,"GobarGasPlant",232098,15.5,10,2,20,"2013-02-01",.655204,13.10408,1.310408
"Hunsur","Mysore",2014,7,"CookStove",232098,15.5,161,96,15456,"2014-07-01",.655204,10126.83,62.89959
"Hunsur","Mysore",2014,5,"SolarLight",232098,15.5,240,1,240,"2014-05-01",.655204,157.249,.655204
"Hunsur","Mysore",2014,6,"CookStove",232098,15.5,10,2,20,"2014-06-01",.655204,13.10408,1.310408
"Hunsur","Mysore",2015,1,"CookStove",232098,15.5,161,27,4347,"2015-01-01",.655204,2848.172,17.69051
"Hunsur","Mysore",2014,11,"SolarLight",232098,15.5,125,3,375,"2014-11-01",.655204,245.7015,1.965612
"Hunsur","Mysore",2017,11,"SolarLight",232098,15.5,39,5.285714,206.1429,"2017-11-01",.655204,135.0656,3.463221
"Hunsur","Mysore",2018,9,"GreenwayJumboStoveGJS1",232098,15.5,396,84,33264,"2018-09-01",.655204,21794.71,55.03714
"Hunsur","Mysore",2018,4,"SolarLight",232098,15.5,394.8,4.6,1816.08,"2018-04-01",.655204,1189.903,3.013938
"Hunsur","Mysore",2016,6,"CookStove",232098,15.5,161,1,161,"2016-06-01",.655204,105.4878,.655204
"Hunsur","Mysore",2015,3,"SolarLight",232098,15.5,216,2,432,"2015-03-01",.655204,283.0481,1.310408
"Hunsur","Mysore",2018,7,"SolarLight",232098,15.5,166.3333,10.66667,1774.222,"2018-07-01",.655204,1162.478,6.988843
"Huvinahadagali","Bellary",2017,12,"CookStove",27967,40.8,133,9,1197,"2017-12-01",.0789498,94.50291,.7105482
"Huvinahadagali","Bellary",2018,1,"CookStove",27967,40.8,133,1,133,"2018-01-01",.0789498,10.50032,.0789498
"Huvinahadagali","Bellary",2014,10,"CookStove",27967,40.8,161,55,8855,"2014-10-01",.0789498,699.1005,4.342239
"Huvinahadagali","Bellary",2015,10,"SolarLight",27967,40.8,10,1,10,"2015-10-01",.0789498,.789498,.0789498
"Huvinahadagali","Bellary",2014,12,"CookStove",27967,40.8,161,31,4991,"2014-12-01",.0789498,394.0385,2.447444
"Huvinahadagali","Bellary",2017,10,"CookStove",27967,40.8,133,18,2394,"2017-10-01",.0789498,189.0058,1.421096
"Huvinahadagali","Bellary",2017,11,"CookStove",27967,40.8,264.5,5.5,1454.75,"2017-11-01",.0789498,114.8522,.4342239
"Huvinahadagali","Bellary",2018,8,"CookStove",27967,40.8,396,1,396,"2018-08-01",.0789498,31.26412,.0789498
"Huvinahadagali","Bellary",2018,9,"GreenwayJumboStoveGJS1",27967,40.8,396,22,8712,"2018-09-01",.0789498,687.8107,1.736896
"Huvinahadagali","Bellary",2017,8,"SolarLight",27967,40.8,588,1,588,"2017-08-01",.0789498,46.42248,.0789498
"Huvinahadagali","Bellary",2017,8,"CookStove",27967,40.8,133,29,3857,"2017-08-01",.0789498,304.5094,2.289544
"Huvinahadagali","Bellary",2015,11,"SolarLight",27967,40.8,10,2,20,"2015-11-01",.0789498,1.578996,.1578996
"Huvinahadagali","Bellary",2015,2,"SolarLight",27967,40.8,10,1,10,"2015-02-01",.0789498,.789498,.0789498
"Huvinahadagali","Bellary",2017,7,"SolarLight",27967,40.8,356,1.666667,593.3333,"2017-07-01",.0789498,46.84355,.131583
"Huvinahadagali","Bellary",2018,1,"SolarLight",27967,40.8,909,1,909,"2018-01-01",.0789498,71.76537,.0789498
"Huvinahadagali","Bellary",2014,11,"CookStove",27967,40.8,161,13,2093,"2014-11-01",.0789498,165.2419,1.026347
"Huvinahadagali","Bellary",2016,11,"CookStove",27967,40.8,161,12,1932,"2016-11-01",.0789498,152.531,.9473976
"Huvinahadagali","Bellary",2014,8,"CookStove",27967,40.8,161,34,5474,"2014-08-01",.0789498,432.1712,2.684293
"Huvinahadagali","Bellary",2017,10,"SolarLight",27967,40.8,909,1,909,"2017-10-01",.0789498,71.76537,.0789498
"Huvinahadagali","Bellary",2016,1,"SolarLight",27967,40.8,10,2,20,"2016-01-01",.0789498,1.578996,.1578996
"Huvinahadagali","Bellary",2016,10,"CookStove",27967,40.8,161,6,966,"2016-10-01",.0789498,76.26551,.4736988
"Huvinahadagali","Bellary",2016,10,"SolarLight",27967,40.8,10,2,20,"2016-10-01",.0789498,1.578996,.1578996
"Huvinahadagali","Bellary",2017,9,"CookStove",27967,40.8,133,30,3990,"2017-09-01",.0789498,315.0097,2.368494
"Huvinahadagali","Bellary",2018,3,"SolarLight",27967,40.8,940,3,2820,"2018-03-01",.0789498,222.6384,.2368494
"Huvinahadagali","Bellary",2017,12,"SolarLight",27967,40.8,118,2,236,"2017-12-01",.0789498,18.63215,.1578996
"Huvinahadagali","Bellary",2015,1,"CookStove",27967,40.8,161,5,805,"2015-01-01",.0789498,63.55459,.394749
"Huvinahadagali","Bellary",2015,4,"SolarLight",27967,40.8,240,1,240,"2015-04-01",.0789498,18.94795,.0789498
"Huvinahadagali","Bellary",2017,7,"CookStove",27967,40.8,133,19,2527,"2017-07-01",.0789498,199.5061,1.500046
