branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Jagalur","Davanagere",2013,12,"SolarLight",154565,23.3,10,1,10,"2013-12-01",.4363312,4.363313,.4363312
"Jagalur","Davanagere",2014,10,"CookStove",154565,23.3,301.5,50.5,15225.75,"2014-10-01",.4363312,6643.471,22.03473
"Jagalur","Davanagere",2016,1,"SolarLight",154565,23.3,240,1,240,"2016-01-01",.4363312,104.7195,.4363312
"Jagalur","Davanagere",2014,9,"GobarGasPlant",154565,23.3,10,1,10,"2014-09-01",.4363312,4.363313,.4363312
"Jagalur","Davanagere",2017,2,"SolarLight",154565,23.3,193,1,193,"2017-02-01",.4363312,84.21193,.4363312
"Jagalur","Davanagere",2014,12,"CookStove",154565,23.3,161,31,4991,"2014-12-01",.4363312,2177.729,13.52627
"Jagalur","Davanagere",2017,5,"SolarLight",154565,23.3,153,1,153,"2017-05-01",.4363312,66.75868,.4363312
"Jagalur","Davanagere",2015,6,"CookStove",154565,23.3,161,1,161,"2015-06-01",.4363312,70.24933,.4363312
"Jagalur","Davanagere",2014,8,"CookStove",154565,23.3,404.3333,71.66666,28977.22,"2014-08-01",.4363312,12643.67,31.27041
"Jagalur","Davanagere",2015,2,"CookStove",154565,23.3,161,23,3703,"2015-02-01",.4363312,1615.735,10.03562
"Jagalur","Davanagere",2018,8,"SolarLight",154565,23.3,260.6,1.2,312.72,"2018-08-01",.4363312,136.4495,.5235975
"Jagalur","Davanagere",2015,7,"SolarLight",154565,23.3,689,1,689,"2015-07-01",.4363312,300.6322,.4363312
"Jagalur","Davanagere",2017,9,"SolarLight",154565,23.3,472,1,472,"2017-09-01",.4363312,205.9483,.4363312
"Jagalur","Davanagere",2014,2,"GobarGasPlant",154565,23.3,10,2,20,"2014-02-01",.4363312,8.726625,.8726625
"Jagalur","Davanagere",2014,12,"GobarGasPlant",154565,23.3,10,7,70,"2014-12-01",.4363312,30.54319,3.054319
"Jagalur","Davanagere",2015,3,"CookStove",154565,23.3,161,2,322,"2015-03-01",.4363312,140.4987,.8726625
"Jagalur","Davanagere",2014,6,"CookStove",154565,23.3,305.8571,13.42857,4107.225,"2014-06-01",.4363312,1792.11,5.859305
"Jagalur","Davanagere",2018,7,"SolarLight",154565,23.3,435,1,435,"2018-07-01",.4363312,189.8041,.4363312
"Jagalur","Davanagere",2014,7,"GobarGasPlant",154565,23.3,10,3,30,"2014-07-01",.4363312,13.08994,1.308994
"Jamkhandi","Bagalkot",2015,8,"CookStove",298146,35.8,504.75,1.75,883.3125,"2015-08-01",.8416551,743.4445,1.472896
"Jamkhandi","Bagalkot",2016,10,"CookStove",298146,35.8,161,20,3220,"2016-10-01",.8416551,2710.129,16.8331
"Jamkhandi","Bagalkot",2014,10,"CookStove",298146,35.8,161,23,3703,"2014-10-01",.8416551,3116.649,19.35807
"Jamkhandi","Bagalkot",2015,11,"SolarLight",298146,35.8,812,1,812,"2015-11-01",.8416551,683.424,.8416551
"Jamkhandi","Bagalkot",2013,12,"GobarGasPlant",298146,35.8,10,13,130,"2013-12-01",.8416551,109.4152,10.94152
"Jamkhandi","Bagalkot",2014,1,"GobarGasPlant",298146,35.8,10,10,100,"2014-01-01",.8416551,84.1655,8.416551
"Jamkhandi","Bagalkot",2015,4,"CookStove",298146,35.8,161,32,5152,"2015-04-01",.8416551,4336.207,26.93296
"Jamkhandi","Bagalkot",2018,1,"CookStove",298146,35.8,161,1,161,"2018-01-01",.8416551,135.5065,.8416551
"Jamkhandi","Bagalkot",2018,1,"SolarLight",298146,35.8,909,1,909,"2018-01-01",.8416551,765.0645,.8416551
"Jamkhandi","Bagalkot",2014,11,"CookStove",298146,35.8,161,140,22540,"2014-11-01",.8416551,18970.91,117.8317
"Jamkhandi","Bagalkot",2014,7,"GobarGasPlant",298146,35.8,10,1,10,"2014-07-01",.8416551,8.416551,.8416551
"Jamkhandi","Bagalkot",2018,9,"SolarLight",298146,35.8,398.5,1.25,498.125,"2018-09-01",.8416551,419.2494,1.052069
"Jamkhandi","Bagalkot",2015,10,"CookStove",298146,35.8,477.25,3,1431.75,"2015-10-01",.8416551,1205.04,2.524965
"Jamkhandi","Bagalkot",2016,8,"SolarLight",298146,35.8,562,1,562,"2016-08-01",.8416551,473.0102,.8416551
"Jamkhandi","Bagalkot",2016,6,"SolarLight",298146,35.8,462.3333,1,462.3333,"2016-06-01",.8416551,389.1252,.8416551
"Jamkhandi","Bagalkot",2014,10,"GobarGasPlant",298146,35.8,10,2,20,"2014-10-01",.8416551,16.8331,1.68331
"Jamkhandi","Bagalkot",2015,12,"CookStove",298146,35.8,161,20,3220,"2015-12-01",.8416551,2710.129,16.8331
"Jamkhandi","Bagalkot",2016,11,"CookStove",298146,35.8,161,56,9016,"2016-11-01",.8416551,7588.362,47.13268
"Jamkhandi","Bagalkot",2018,8,"GreenwayJumboStoveGJS1",298146,35.8,396,3,1188,"2018-08-01",.8416551,999.8862,2.524965
"Jamkhandi","Bagalkot",2017,4,"CookStove",298146,35.8,161,2,322,"2017-04-01",.8416551,271.0129,1.68331
"Jamkhandi","Bagalkot",2017,12,"SolarLight",298146,35.8,581.5,1,581.5,"2017-12-01",.8416551,489.4224,.8416551
"Jamkhandi","Bagalkot",2016,12,"CookStove",298146,35.8,161,14,2254,"2016-12-01",.8416551,1897.091,11.78317
"Jamkhandi","Bagalkot",2017,2,"CookStove",298146,35.8,161,2,322,"2017-02-01",.8416551,271.0129,1.68331
"Jamkhandi","Bagalkot",2015,3,"CookStove",298146,35.8,161,29,4669,"2015-03-01",.8416551,3929.688,24.408
"Jamkhandi","Bagalkot",2018,7,"CookStove",298146,35.8,396,21,8316,"2018-07-01",.8416551,6999.204,17.67476
"Jamkhandi","Bagalkot",2018,9,"GreenwayJumboStoveGJS1",298146,35.8,396,10,3960,"2018-09-01",.8416551,3332.954,8.416551
