"","Region","Year","specialization","seats"
"374","Central",2014,"hormones",0
"375","Central",2015,"hormones",0
"376","Central",2016,"hormones",0
"377","Central",2017,"hormones",0
"378","Central",2018,"hormones",0
"379","Central",1998,"immunology",0
"380","Central",1999,"immunology",0
"381","Central",2000,"immunology",0
"382","Central",2001,"immunology",0
"383","Central",2002,"immunology",0
"384","Central",2003,"immunology",0
"385","Central",2004,"immunology",0
"386","Central",2005,"immunology",0
"387","Central",2006,"immunology",0
"388","Central",2007,"immunology",0
"389","Central",2008,"immunology",0
"390","Central",2009,"immunology",0
"391","Central",2010,"immunology",0
"392","Central",2011,"immunology",0
"393","Central",2012,"immunology",0
"394","Central",2013,"immunology",0
"395","Central",2014,"immunology",0
"396","Central",2015,"immunology",0
"397","Central",2016,"immunology",0
"398","Central",2017,"immunology",0
"399","Central",2018,"immunology",0
"400","Central",1998,"infectious",0
"401","Central",1999,"infectious",0
"402","Central",2000,"infectious",0
"403","Central",2001,"infectious",0
"404","Central",2002,"infectious",0
"405","Central",2003,"infectious",0
"406","Central",2004,"infectious",0
"407","Central",2005,"infectious",0
"408","Central",2006,"infectious",0
"409","Central",2007,"infectious",0
"410","Central",2008,"infectious",0
"411","Central",2009,"infectious",0
"412","Central",2010,"infectious",0
"413","Central",2011,"infectious",0
"414","Central",2012,"infectious",0
"415","Central",2013,"infectious",0
"416","Central",2014,"infectious",0
"417","Central",2015,"infectious",0
"418","Central",2016,"infectious",0
"419","Central",2017,"infectious",0
"420","Central",2018,"infectious",0
"421","Central",1998,"interdiscipline",6
"422","Central",1999,"interdiscipline",6
"423","Central",2000,"interdiscipline",6
"424","Central",2001,"interdiscipline",6
"425","Central",2002,"interdiscipline",6
"426","Central",2003,"interdiscipline",6
"427","Central",2004,"interdiscipline",6
"428","Central",2005,"interdiscipline",6
"429","Central",2006,"interdiscipline",6
"430","Central",2007,"interdiscipline",6
"431","Central",2008,"interdiscipline",6
"432","Central",2009,"interdiscipline",6
"433","Central",2010,"interdiscipline",8
"434","Central",2011,"interdiscipline",10
"435","Central",2012,"interdiscipline",10
"436","Central",2013,"interdiscipline",12
"437","Central",2014,"interdiscipline",17
"438","Central",2015,"interdiscipline",19
"439","Central",2016,"interdiscipline",19
"440","Central",2017,"interdiscipline",19
"441","Central",2018,"interdiscipline",19
"442","Central",1998,"kidney",0
"443","Central",1999,"kidney",0
"444","Central",2000,"kidney",0
"445","Central",2001,"kidney",0
"446","Central",2002,"kidney",0
"447","Central",2003,"kidney",0
"448","Central",2004,"kidney",0
"449","Central",2005,"kidney",0
"450","Central",2006,"kidney",0
"451","Central",2007,"kidney",0
"452","Central",2008,"kidney",0
"453","Central",2009,"kidney",0
"454","Central",2010,"kidney",0
"455","Central",2011,"kidney",0
"456","Central",2012,"kidney",0
"457","Central",2013,"kidney",1
"458","Central",2014,"kidney",1
"459","Central",2015,"kidney",1
"460","Central",2016,"kidney",1
"461","Central",2017,"kidney",1
"462","Central",2018,"kidney",1
"463","Central",1998,"kids",36
"464","Central",1999,"kids",36
"465","Central",2000,"kids",36
"466","Central",2001,"kids",36
"467","Central",2002,"kids",36
"468","Central",2003,"kids",36
"469","Central",2004,"kids",36
"470","Central",2005,"kids",36
"471","Central",2006,"kids",24
"472","Central",2007,"kids",24
"473","Central",2008,"kids",17
"474","Central",2009,"kids",17
"475","Central",2010,"kids",17
"476","Central",2011,"kids",19
"477","Central",2012,"kids",20
"478","Central",2013,"kids",20
"479","Central",2014,"kids",26
"480","Central",2015,"kids",30
"481","Central",2016,"kids",37
"482","Central",2017,"kids",38
"483","Central",2018,"kids",50
"484","Central",1998,"liver",0
"485","Central",1999,"liver",0
"486","Central",2000,"liver",0
"487","Central",2001,"liver",0
"488","Central",2002,"liver",0
"489","Central",2003,"liver",0
"490","Central",2004,"liver",0
"491","Central",2005,"liver",0
"492","Central",2006,"liver",0
"493","Central",2007,"liver",0
"494","Central",2008,"liver",0
"495","Central",2009,"liver",0
"496","Central",2010,"liver",0
"497","Central",2011,"liver",0
"498","Central",2012,"liver",0
"499","Central",2013,"liver",0
"500","Central",2014,"liver",0
"501","Central",2015,"liver",0
"502","Central",2016,"liver",0
"503","Central",2017,"liver",0
"504","Central",2018,"liver",0
"505","Central",1998,"lung",1
"506","Central",1999,"lung",1
"507","Central",2000,"lung",1
"508","Central",2001,"lung",1
"509","Central",2002,"lung",1
"510","Central",2003,"lung",1
"511","Central",2004,"lung",1
"512","Central",2005,"lung",1
"513","Central",2006,"lung",1
"514","Central",2007,"lung",1
"515","Central",2008,"lung",1
"516","Central",2009,"lung",1
"517","Central",2010,"lung",1
"518","Central",2011,"lung",3
"519","Central",2012,"lung",3
"520","Central",2013,"lung",3
"521","Central",2014,"lung",5
"522","Central",2015,"lung",7
"523","Central",2016,"lung",7
"524","Central",2017,"lung",7
"525","Central",2018,"lung",12
"526","Central",1998,"microscopic",7
"527","Central",1999,"microscopic",7
"528","Central",2000,"microscopic",7
"529","Central",2001,"microscopic",7
"530","Central",2002,"microscopic",7
"531","Central",2003,"microscopic",7
"532","Central",2004,"microscopic",7
"533","Central",2005,"microscopic",7
"534","Central",2006,"microscopic",7
"535","Central",2007,"microscopic",7
"536","Central",2008,"microscopic",7
"537","Central",2009,"microscopic",7
"538","Central",2010,"microscopic",7
"539","Central",2011,"microscopic",9
"540","Central",2012,"microscopic",9
"541","Central",2013,"microscopic",12
"542","Central",2014,"microscopic",15
"543","Central",2015,"microscopic",17
"544","Central",2016,"microscopic",17
"545","Central",2017,"microscopic",17
"546","Central",2018,"microscopic",18
"547","Central",1998,"pain",0
"548","Central",1999,"pain",0
"549","Central",2000,"pain",0
"550","Central",2001,"pain",0
"551","Central",2002,"pain",0
"552","Central",2003,"pain",0
"553","Central",2004,"pain",0
"554","Central",2005,"pain",0
"555","Central",2006,"pain",0
"556","Central",2007,"pain",0
"557","Central",2008,"pain",0
"558","Central",2009,"pain",0
"559","Central",2010,"pain",0
"560","Central",2011,"pain",0
"561","Central",2012,"pain",0
"562","Central",2013,"pain",0
"563","Central",2014,"pain",0
"564","Central",2015,"pain",0
"565","Central",2016,"pain",0
"566","Central",2017,"pain",0
"567","Central",2018,"pain",0
"568","Central",1998,"pathology",32
"569","Central",1999,"pathology",32
"570","Central",2000,"pathology",32
"571","Central",2001,"pathology",32
"572","Central",2002,"pathology",32
"573","Central",2003,"pathology",32
"574","Central",2004,"pathology",32
"575","Central",2005,"pathology",32
"576","Central",2006,"pathology",27
"577","Central",2007,"pathology",27
"578","Central",2008,"pathology",27
"579","Central",2009,"pathology",27
"580","Central",2010,"pathology",27
"581","Central",2011,"pathology",34
"582","Central",2012,"pathology",34
"583","Central",2013,"pathology",36
"584","Central",2014,"pathology",42
"585","Central",2015,"pathology",44
"586","Central",2016,"pathology",47
"587","Central",2017,"pathology",47
"588","Central",2018,"pathology",58
"589","Central",1998,"pharma",12
"590","Central",1999,"pharma",12
"591","Central",2000,"pharma",12
"592","Central",2001,"pharma",12
"593","Central",2002,"pharma",12
"594","Central",2003,"pharma",12
"595","Central",2004,"pharma",12
"596","Central",2005,"pharma",12
"597","Central",2006,"pharma",9
"598","Central",2007,"pharma",9
"599","Central",2008,"pharma",9
"600","Central",2009,"pharma",9
"601","Central",2010,"pharma",9
"602","Central",2011,"pharma",10
"603","Central",2012,"pharma",10
"604","Central",2013,"pharma",12
"605","Central",2014,"pharma",12
"606","Central",2015,"pharma",14
"607","Central",2016,"pharma",14
"608","Central",2017,"pharma",14
"609","Central",2018,"pharma",20
"610","Central",1998,"physiology",10
"611","Central",1999,"physiology",10
"612","Central",2000,"physiology",10
"613","Central",2001,"physiology",10
"614","Central",2002,"physiology",10
"615","Central",2003,"physiology",10
"616","Central",2004,"physiology",10
"617","Central",2005,"physiology",10
